NRP,Nama,Prodi,Agama,Asal_Kota,Alamat_Surabaya,Telp_Pribadi,Riwayat_Penyakit,Kontak_Darurat
5025251001,John Doe,Informatika,ISLAM,Surabaya,"Jl. Teknik Kimia, Keputih",081234567890,None,081298765432
5025251002,Jane Smith,Informatika,KRISTEN,Jakarta,"Jl. Teknik Komputer, Keputih",081345678901,Asthma,081387654321
5025251003,Michael Johnson,Sistem Informasi,KATOLIK,Bandung,"Jl. Arief Rahman Hakim",081456789012,Diabetes,081498765432
5025251004,Emily Davis,Teknik Elektro,BUDDHA,Medan,"Asrama ITS Blok A",081567890123,None,081509876543
5025251005,David Wilson,Informatika,ISLAM,Makassar,"Perumdos Blok U",081678901234,Allergy,081610987654
5025251006,Sarah Brown,Teknik Industri,HINDU,Denpasar,"Jl. Kertajaya Indah",081789012345,None,081721098765
5025251007,James Taylor,Informatika,ISLAM,Yogyakarta,"Gebang Putih",081890123456,Gastritis,081832109876
5025251008,Patricia Moore,Teknologi Informasi,KRISTEN,Semarang,"Keputih Tegal",081901234567,None,081943210987
5025251009,Robert Anderson,Informatika,ISLAM,Malang,"Sukolilo Park",082012345678,Insomnia,082054321987
5025251010,Linda Thomas,Sistem Informasi,KATOLIK,Manado,"Pakuwon City",082123456789,None,082165432098
